DATES,LIP,UNEMP,LCPI,FFR,LPCOM,LRCDUR,LRCND,LRCSV,RRSHOCK,CUMRRSHOCK
1977-05-01,3.8952389376935557,7.0,4.097672352314776,5.35,5.387518012006339,3.1215275695982987,3.865560131017805,3.6411324956162017,-0.0841385,-6.1423248
1977-06-01,3.902588641441178,7.2,4.102643365036796,5.39,5.339939041238856,3.127593522264287,3.8598661804105814,3.642233240040165,-0.1610702,-6.303395
1977-07-01,3.9043798709493145,6.9,4.107589788972121,5.42,5.318365061851814,3.1306127557478094,3.8704090307076817,3.6502685549862806,-0.2676827,-6.5710777
1977-08-01,3.9045531755870577,7.0,4.11251186617755,5.9,5.302508571166505,3.1402654242862895,3.865539179614584,3.6494107102035698,0.0024756,-6.5686021
1977-09-01,3.9091749535760107,6.8,4.115779842942166,6.14,5.304796332645746,3.14823874526876,3.868990235610726,3.6509439147708993,0.0441249,-6.5244772
1977-10-01,3.911420824153391,6.8,4.120661870539474,6.47,5.31483027492225,3.1480240838962494,3.8839732639813893,3.6576725444892255,-0.0372709,-6.5617481
1977-11-01,3.9121250002265,6.8,4.127134385045092,6.51,5.327390614033744,3.1623901258813385,3.8953446923753328,3.6582655954961,-0.0659826,-6.6277307
1977-12-01,3.913711578985046,6.4,4.131961425793407,6.56,5.359788688636137,3.1710292154109814,3.8893069381844128,3.6632539064749636,-0.1152749,-6.7430056
1978-01-01,3.8999322054044336,6.4,4.138361447638875,6.7,5.384495062789089,3.1015776716373313,3.8817287327945453,3.667042759504762,-0.2165074,-6.959513
1978-02-01,3.9049097662217704,6.3,4.143134726391533,6.78,5.395126422476097,3.1364502804928702,3.896117175744369,3.6761234410127357,0.0573472,-6.902165800000001
1978-03-01,3.923753928303845,6.3,4.14946386144318,6.79,5.422170828715035,3.1620514728704396,3.9034866744058596,3.6832637153283008,-0.0014195,-6.9035853000000005
1978-04-01,3.94430818481102,6.1,4.157319361383489,6.89,5.429345628954441,3.198877178361511,3.8966047526997656,3.688154191174341,-0.0921419,-6.9957272
1978-05-01,3.9477472283622506,6.0,4.1666652238017265,7.36,5.429784129290343,3.209269834722966,3.9031638789948215,3.688754446300785,-0.2391022,-7.2348294
1978-06-01,3.9546916139068737,5.9,4.174387269895637,7.6,5.436556410771803,3.208542620728409,3.904696230041685,3.6941654585431736,0.1988957,-7.035933699999999
1978-07-01,3.9544117719199328,6.2,4.182050142641207,7.81,5.4331541567702475,3.1906820904974187,3.9020938743502613,3.691850037558769,-0.150788,-7.1867217
1978-08-01,3.9579538475343967,5.9,4.188138441508461,8.04,5.465017542439035,3.215028433139307,3.9068094383752587,3.6989287899669376,-0.0950329,-7.281754599999999
1978-09-01,3.960611244450163,6.0,4.197201947661808,8.45,5.493267183491464,3.1698116231539104,3.9187006601813867,3.701573542172821,-0.1752538,-7.457008399999999
1978-10-01,3.9687095301681667,5.8,4.206184043977636,8.96,5.525612288984722,3.1965075090061923,3.911522880386464,3.701573542172821,0.1244038,-7.3326046
1978-11-01,3.975996366893071,5.9,4.212127597878484,9.76,5.5302224235308195,3.199733779339834,3.922012939457494,3.7012032038027685,0.1484506,-7.1841539999999995
1978-12-01,3.9815807839917117,6.0,4.21803603456465,10.03,5.524456426842045,3.2033966380197407,3.9324528869396542,3.705121829659801,-0.0601637,-7.2443177
1979-01-01,3.975035362569671,5.9,4.22683374526818,10.07,5.542595990392205,3.18333154534331,3.9245047829302018,3.7085840373882717,0.0,-7.2443177
1979-02-01,3.9803786072352354,5.9,4.237000862623624,10.06,5.591173530273546,3.190147078035329,3.9267145541711357,3.714400991344014,-0.1817765,-7.4260942
1979-03-01,3.983727663362991,5.8,4.247065649239764,10.09,5.6252802465012435,3.1904351972363507,3.9280931856056407,3.715326624128785,0.0737062,-7.3523879999999995
1979-04-01,3.972805732392362,5.8,4.257030144499196,10.01,5.621487231929371,3.170735449540266,3.9143802250018243,3.7183897114878772,-0.1019559,-7.4543439
1979-05-01,3.9805336273181173,5.6,4.268297869345539,10.24,5.62445062537407,3.175091112497179,3.9230420719105794,3.7173940220121375,0.0686255,-7.3857184
1979-06-01,3.9802814739739283,5.7,4.279440045898781,10.29,5.627800953633573,3.1493542422095553,3.9359738795839325,3.721201425576061,0.0,-7.3857184
